,event_timestamp,trade_sign,side,lob_action,order_executed,execution_price,execution_size,ask,bid,midprice,ask_volume,bid_volume,price_changing,midprice_change,R1,norm_trade_volume
718,21:47.6,-1,BID,UPDATE,TRUE,217.03,11,217.19,217.03,217.11,100,21,FALSE,0,0,0.059318914
719,21:47.6,-1,BID,REMOVE,TRUE,217.03,10,217.19,217.03,217.11,100,10,TRUE,-0.015,0.015,0.053926285
720,21:55.1,1,ASK,UPDATE,TRUE,217.17,95,217.17,217.02,217.095,100,200,FALSE,0,0,0.774291875
721,21:55.1,1,ASK,REMOVE,TRUE,217.17,5,217.17,217.02,217.095,5,200,TRUE,0.18,0.18,0.040752204
722,21:55.1,-1,BID,REMOVE,TRUE,217.17,5,217.38,217.17,217.275,1,5,TRUE,-0.17,0.17,0.026963143
723,22:00.5,-1,BID,REMOVE,TRUE,217.04,100,217.17,217.04,217.105,200,100,TRUE,-0.055,0.055,0.539262853
724,22:12.9,-1,BID,UPDATE,TRUE,217,5,217.1,217,217.05,100,100,FALSE,-0.03,0.03,0.026963143
725,22:12.9,-1,BID,UPDATE,TRUE,216.97,95,217.07,216.97,217.02,100,100,FALSE,0,0,0.512299711
726,22:12.9,-1,BID,REMOVE,TRUE,216.97,5,217.07,216.97,217.02,100,5,TRUE,-0.03,0.03,0.026963143
727,22:35.4,1,ASK,UPDATE,TRUE,217.06,7,217.06,216.92,216.99,100,10,FALSE,0.005,0.005,0.057053086
728,22:44.2,-1,BID,REMOVE,TRUE,216.93,100,217.06,216.93,216.995,193,100,TRUE,-0.02,0.02,0.539262853
729,22:50.3,-1,BID,REMOVE,TRUE,216.91,20,217.04,216.91,216.975,4,20,TRUE,-0.075,0.075,0.107852571
730,22:52.2,-1,BID,REMOVE,TRUE,216.88,100,216.92,216.88,216.9,600,100,TRUE,-0.025,0.025,0.539262853
731,22:52.2,-1,BID,REMOVE,TRUE,216.84,2,216.91,216.84,216.875,104,2,TRUE,-0.005,0.005,0.010785257
732,22:52.2,-1,BID,UPDATE,TRUE,216.85,18,216.89,216.85,216.87,100,100,FALSE,-0.05,0.05,0.097067314
733,22:52.2,1,ASK,UPDATE,TRUE,216.85,82,216.85,216.79,216.82,100,300,FALSE,-0.015,-0.015,0.668336145
734,22:52.3,1,ASK,REMOVE,TRUE,216.85,18,216.85,216.76,216.805,18,100,TRUE,-0.005,-0.005,0.146707934
735,23:07.8,-1,BID,REMOVE,TRUE,216.73,10,216.87,216.73,216.8,100,10,TRUE,-0.06,0.06,0.053926285
736,23:07.8,-1,BID,REMOVE,TRUE,216.69,10,216.79,216.69,216.74,100,10,TRUE,-0.03,0.03,0.053926285
737,23:26.2,1,ASK,REMOVE,TRUE,216.79,100,216.79,216.63,216.71,200,200,FALSE,0,0,0.815044079
738,23:26.2,1,ASK,REMOVE,TRUE,216.79,100,216.79,216.63,216.71,100,200,TRUE,0.105,0.105,0.815044079
739,23:26.2,-1,BID,REMOVE,TRUE,216.78,100,216.85,216.78,216.815,5,100,TRUE,-0.09,0.09,0.539262853
740,23:32.7,-1,BID,REMOVE,TRUE,216.68,100,216.77,216.68,216.725,500,100,TRUE,-0.075,0.075,0.539262853
741,23:59.9,1,ASK,REMOVE,TRUE,216.68,100,216.68,216.62,216.65,200,100,FALSE,0,0,0.815044079
742,23:59.9,1,ASK,REMOVE,TRUE,216.68,100,216.68,216.62,216.65,100,100,TRUE,0.005,0.005,0.815044079
743,23:59.9,1,ASK,REMOVE,TRUE,216.69,1,216.69,216.62,216.655,1,100,TRUE,0.04,0.04,0.008150441
744,23:59.9,1,ASK,REMOVE,TRUE,216.75,5,216.75,216.64,216.695,5,100,TRUE,0.07,0.07,0.040752204
745,24:02.1,1,ASK,REMOVE,TRUE,216.88,200,216.88,216.65,216.765,100,100,TRUE,0.04,0.04,1.630088158
746,24:02.1,1,ASK,REMOVE,TRUE,216.91,100,216.91,216.7,216.805,100,100,TRUE,0.135,0.135,0.815044079
747,24:02.2,-1,BID,REMOVE,TRUE,216.9,100,216.98,216.9,216.94,100,100,TRUE,-0.085,0.085,0.539262853
748,24:02.5,-1,BID,REMOVE,TRUE,216.84,800,216.87,216.84,216.855,400,800,TRUE,-0.07,0.07,4.314102828
749,24:05.5,1,ASK,REMOVE,TRUE,216.86,100,216.86,216.71,216.785,200,100,FALSE,0,0,0.815044079
750,24:05.5,1,ASK,REMOVE,TRUE,216.86,100,216.86,216.71,216.785,100,100,TRUE,0.005,0.005,0.815044079
751,24:05.5,1,ASK,UPDATE,TRUE,216.87,199,216.87,216.71,216.79,400,100,FALSE,0.025,0.025,1.621937717
752,24:05.5,1,ASK,REMOVE,TRUE,216.87,201,216.87,216.76,216.815,201,100,TRUE,0.055,0.055,1.638238599
753,24:48.4,1,ASK,REMOVE,TRUE,216.94,100,216.94,216.8,216.87,200,100,FALSE,0,0,0.815044079
754,24:48.4,1,ASK,REMOVE,TRUE,216.94,100,216.94,216.8,216.87,100,100,TRUE,0.05,0.05,0.815044079
755,24:49.6,1,ASK,REMOVE,TRUE,217,325,217,216.84,216.92,300,100,TRUE,0.02,0.02,2.648893257
